locus_tag	ftype	length_bp	gene	EC_number	COG	product
EBBPGFGJ_03611	CDS	1353	gor	1.8.1.7	COG1249	Glutathione reductase
EBBPGFGJ_03612	CDS	1044	ansB_2	3.5.1.1		L-asparaginase
EBBPGFGJ_03613	CDS	1320	dcuA_1		COG2704	C4-dicarboxylate transporter DcuA
EBBPGFGJ_03614	CDS	846	frlD	2.7.1.-	COG0524	Fructosamine kinase FrlD
EBBPGFGJ_03615	CDS	978	frlB_2	3.5.-.-	COG2222	Fructosamine deglycase FrlB
EBBPGFGJ_03616	CDS	720	nagR_2		COG2188	HTH-type transcriptional repressor NagR
EBBPGFGJ_03617	CDS	1650	treF	3.2.1.28	COG1626	Cytoplasmic trehalase
EBBPGFGJ_03618	CDS	1590				hypothetical protein
EBBPGFGJ_03619	CDS	357				hypothetical protein
EBBPGFGJ_03620	CDS	603	yhjB		COG2197	Putative HTH-type transcriptional regulator YhjB
EBBPGFGJ_03621	CDS	900	aaeR_2		COG0583	HTH-type transcriptional activator AaeR
EBBPGFGJ_03622	CDS	1029	yhjD		COG1295	Inner membrane protein YhjD
EBBPGFGJ_03623	CDS	1323	yhjE		COG0477	Inner membrane metabolite transport protein YhjE
EBBPGFGJ_03624	CDS	2061				hypothetical protein
EBBPGFGJ_03625	CDS	768	pdeH	3.1.4.52	COG2200	Cyclic di-GMP phosphodiesterase PdeH
EBBPGFGJ_03626	CDS	930	kdgK	2.7.1.45	COG0524	2-dehydro-3-deoxygluconokinase
EBBPGFGJ_03627	CDS	1488	yhjJ		COG0612	Protein YhjJ
EBBPGFGJ_03628	CDS	1287	dctA		COG1301	Aerobic C4-dicarboxylate transport protein
EBBPGFGJ_03629	CDS	2007	pdeK	3.1.4.52	COG2199	putative cyclic di-GMP phosphodiesterase PdeK
EBBPGFGJ_03630	CDS	3543	bcsC		COG0457	Cellulose synthase operon protein C
EBBPGFGJ_03631	CDS	1110	bcsZ	3.2.1.4	COG3405	Endoglucanase
EBBPGFGJ_03632	CDS	2151	bcsB		COG1215	Cyclic di-GMP-binding protein
EBBPGFGJ_03633	CDS	2625	bcsA	2.4.1.12	COG1215	Cellulose synthase catalytic subunit [UDP-forming]
EBBPGFGJ_03634	CDS	753	bcsQ			Cellulose biosynthesis protein BcsQ
EBBPGFGJ_03635	CDS	204	yhjR			Protein YhjR
EBBPGFGJ_03636	CDS	1560	bcsE			Cyclic di-GMP binding protein BcsE
EBBPGFGJ_03637	CDS	192	bcsF			Cellulose biosynthesis protein BcsF
EBBPGFGJ_03638	CDS	1680	bcsG			Cellulose biosynthesis protein BcsG
EBBPGFGJ_03639	CDS	108	ldrD			Small toxic polypeptide LdrD
EBBPGFGJ_03640	CDS	1299	yhjV		COG0814	Inner membrane transport protein YhjV
EBBPGFGJ_03641	CDS	1014	dppF	7.4.2.9	COG4608	Dipeptide transport ATP-binding protein DppF
EBBPGFGJ_03642	CDS	984	dppD	7.4.2.9	COG0444	Dipeptide transport ATP-binding protein DppD
EBBPGFGJ_03643	CDS	903	dppC_2		COG1173	Dipeptide transport system permease protein DppC
EBBPGFGJ_03644	CDS	1020	dppB_2		COG0601	Dipeptide transport system permease protein DppB
EBBPGFGJ_03645	CDS	1608	dppA		COG0747	Dipeptide-binding protein
EBBPGFGJ_03646	CDS	1326	pucK		COG2233	Uric acid permease PucK
EBBPGFGJ_03647	CDS	1125				hypothetical protein
EBBPGFGJ_03648	CDS	1008	celR			HTH-type transcriptional regulator CelR
EBBPGFGJ_03649	tRNA	77				tRNA-Pro(cgg)
EBBPGFGJ_03650	CDS	1692	eptB	2.7.8.42	COG2194	Kdo(2)-lipid A phosphoethanolamine 7''-transferase
EBBPGFGJ_03651	CDS	528	lpfE		COG3539	putative fimbrial subunit LpfE
EBBPGFGJ_03652	CDS	1080	lpfD_2		COG3539	putative minor fimbrial subunit LpfD
EBBPGFGJ_03653	CDS	2529	elfC_2		COG3188	putative outer membrane usher protein ElfC
EBBPGFGJ_03654	CDS	699	lpfB_1		COG3121	putative fimbrial chaperone LpfB
EBBPGFGJ_03655	CDS	525	lpfA		COG3539	putative major fimbrial subunit LpfA
EBBPGFGJ_03656	CDS	705				hypothetical protein
EBBPGFGJ_03657	CDS	582	tag	3.2.2.20	COG2818	DNA-3-methyladenine glycosylase 1
EBBPGFGJ_03658	CDS	441	yiaC	2.3.1.-	COG0456	Peptidyl-lysine N-acetyltransferase YiaC
EBBPGFGJ_03659	CDS	2334	bisC	1.-.-.-	COG0243	Biotin sulfoxide reductase
EBBPGFGJ_03660	CDS	663	yiaD		COG2885	putative lipoprotein YiaD
EBBPGFGJ_03661	CDS	975	ghrB	1.1.1.79	COG1052	Glyoxylate/hydroxypyruvate reductase B
EBBPGFGJ_03662	CDS	711				hypothetical protein
EBBPGFGJ_03663	CDS	333				hypothetical protein
EBBPGFGJ_03664	CDS	213	cspA		COG1278	Cold shock protein CspA
EBBPGFGJ_03665	CDS	540				hypothetical protein
EBBPGFGJ_03666	CDS	486	tacT1	2.3.1.-		tRNA-acetylating toxin 1
EBBPGFGJ_03667	CDS	267	tacA1			Antitoxin TacA1
EBBPGFGJ_03668	CDS	468	yafP	2.3.1.-	COG0454	putative N-acetyltransferase YafP
EBBPGFGJ_03669	CDS	2070	glyS	6.1.1.14	COG0751	Glycine--tRNA ligase beta subunit
EBBPGFGJ_03670	CDS	912	glyQ	6.1.1.14	COG0752	Glycine--tRNA ligase alpha subunit
EBBPGFGJ_03671	CDS	303				hypothetical protein
EBBPGFGJ_03672	CDS	996	wecH	2.3.1.-	COG3274	O-acetyltransferase WecH
EBBPGFGJ_03673	CDS	354				hypothetical protein
EBBPGFGJ_03674	CDS	1455	xylB	2.7.1.17	COG1070	Xylulose kinase
EBBPGFGJ_03675	CDS	1323	xylA	5.3.1.5	COG2115	Xylose isomerase
EBBPGFGJ_03676	CDS	1179	xylR		COG1609	Xylose operon regulatory protein
EBBPGFGJ_03677	CDS	825				hypothetical protein
EBBPGFGJ_03678	CDS	2028	malS	3.2.1.1	COG0366	Periplasmic alpha-amylase
EBBPGFGJ_03679	CDS	1251	avtA	2.6.1.66	COG3977	Valine--pyruvate aminotransferase
EBBPGFGJ_03680	CDS	474	aegA_3		COG0493	Putative oxidoreductase AegA
EBBPGFGJ_03681	CDS	801	yiaJ		COG1414	DNA-binding transcriptional repressor YiaJ
EBBPGFGJ_03682	CDS	999	dlgD	1.1.1.130	COG2055	2,3-diketo-L-gulonate reductase
EBBPGFGJ_03683	CDS	465	nanQ_2		COG2731	N-acetylneuraminate anomerase NanQ
EBBPGFGJ_03684	CDS	933	yiaX1			putative protein YiaX1
EBBPGFGJ_03685	CDS	474	yiaM		COG3090	2,3-diketo-L-gulonate TRAP transporter small permease protein YiaM
EBBPGFGJ_03686	CDS	1278	siaM		COG1593	Sialic acid TRAP transporter large permease protein SiaM
EBBPGFGJ_03687	CDS	987	yiaO		COG1638	2,3-diketo-L-gulonate-binding periplasmic protein YiaO
EBBPGFGJ_03688	CDS	1497	lyx	2.7.1.-	COG1070	L-xylulose/3-keto-L-gulonate kinase
EBBPGFGJ_03689	CDS	663	sgbH	4.1.1.85	COG0269	3-keto-L-gulonate-6-phosphate decarboxylase SgbH
EBBPGFGJ_03690	CDS	861	ulaE_1	5.1.3.22	COG3623	L-ribulose-5-phosphate 3-epimerase UlaE
EBBPGFGJ_03691	CDS	696	sgbE	5.1.3.4	COG0235	L-ribulose-5-phosphate 4-epimerase SgbE
EBBPGFGJ_03692	CDS	816	rhaR_5			HTH-type transcriptional activator RhaR
EBBPGFGJ_03693	CDS	1956	hypBA1	3.2.1.185		Non-reducing end beta-L-arabinofuranosidase
EBBPGFGJ_03694	CDS	1539	aldB	1.2.1.4	COG1012	Aldehyde dehydrogenase B
EBBPGFGJ_03695	CDS	882	bglK	2.7.1.85		Beta-glucoside kinase
EBBPGFGJ_03696	CDS	1851	selB		COG3276	Selenocysteine-specific elongation factor
EBBPGFGJ_03697	CDS	1392	selA	2.9.1.1	COG1921	L-seryl-tRNA(Sec) selenium transferase
EBBPGFGJ_03698	CDS	609	yibF		COG0625	putative GST-like protein YibF
EBBPGFGJ_03699	CDS	1917	mtlA		COG2213	PTS system mannitol-specific EIICBA component
EBBPGFGJ_03700	CDS	1149	mtlD	1.1.1.17	COG0246	Mannitol-1-phosphate 5-dehydrogenase
EBBPGFGJ_03701	CDS	591	mtlR		COG3722	Mannitol operon repressor
EBBPGFGJ_03702	CDS	210				hypothetical protein
EBBPGFGJ_03703	CDS	363	yibL			putative protein YibL
EBBPGFGJ_03704	CDS	684	sadB			Inner membrane lipoprotein SadB
EBBPGFGJ_03705	CDS	4386	sadA			Autotransporter adhesin SadA
EBBPGFGJ_03706	CDS	1656	lldP		COG1620	L-lactate permease
EBBPGFGJ_03707	CDS	777	lldR_1		COG2186	Putative L-lactate dehydrogenase operon regulatory protein
EBBPGFGJ_03708	CDS	1191	lldD	1.1.-.-	COG1304	L-lactate dehydrogenase
EBBPGFGJ_03709	CDS	474	trmL_1	2.1.1.207	COG0219	tRNA (cytidine(34)-2'-O)-methyltransferase
EBBPGFGJ_03710	CDS	1005	gntR_3			HTH-type transcriptional regulator GntR
EBBPGFGJ_03711	CDS	1197		4.2.1.156		L-talarate/galactarate dehydratase
EBBPGFGJ_03712	CDS	1311	gudP_2		COG2271	putative galactarate/D-glucarate transporter GudP
EBBPGFGJ_03713	CDS	822	cysE_2	2.3.1.30		Serine acetyltransferase
EBBPGFGJ_03714	CDS	1020	gpsA	1.1.1.94	COG0240	Glycerol-3-phosphate dehydrogenase [NAD(P)+]
EBBPGFGJ_03715	CDS	468	secB		COG1952	Protein-export protein SecB
EBBPGFGJ_03716	CDS	252	grxC		COG0695	Glutaredoxin 3
EBBPGFGJ_03717	CDS	432	yibN		COG0607	putative protein YibN
EBBPGFGJ_03718	CDS	1545	gpmI	5.4.2.12	COG0696	2,3-bisphosphoglycerate-independent phosphoglycerate mutase
EBBPGFGJ_03719	CDS	1284	envC		COG4942	Murein hydrolase activator EnvC
EBBPGFGJ_03720	CDS	963				hypothetical protein
EBBPGFGJ_03721	CDS	1035	epsJ	2.4.-.-	COG1216	putative glycosyltransferase EpsJ
EBBPGFGJ_03722	CDS	1026	tdh	1.1.1.103	COG1063	L-threonine 3-dehydrogenase
EBBPGFGJ_03723	CDS	1197	kbl	2.3.1.29	COG0156	2-amino-3-ketobutyrate coenzyme A ligase
EBBPGFGJ_03724	CDS	933	hldD	5.1.3.20	COG0451	ADP-L-glycero-D-manno-heptose-6-epimerase
EBBPGFGJ_03725	CDS	1047	waaF	2.4.99.24	COG0859	Lipopolysaccharide heptosyltransferase 2
EBBPGFGJ_03726	CDS	954	waaC	2.4.99.23	COG0859	Lipopolysaccharide heptosyltransferase 1
EBBPGFGJ_03727	CDS	1215	waaL	2.4.99.26		O-antigen ligase
EBBPGFGJ_03728	CDS	1146	waaK	2.4.1.56		Lipopolysaccharide 1,2-N-acetylglucosaminetransferase
EBBPGFGJ_03729	CDS	810				hypothetical protein
EBBPGFGJ_03730	CDS	699	waaY	2.7.1.-	COG0661	Lipopolysaccharide core heptose(II) kinase WaaY
EBBPGFGJ_03731	CDS	1011	waaJ	2.4.1.58		Lipopolysaccharide 1,2-glucosyltransferase
EBBPGFGJ_03732	CDS	1023	waaI	2.4.1.44		Lipopolysaccharide 1,3-galactosyltransferase
EBBPGFGJ_03733	CDS	1080	waaB	2.4.1.-		Lipopolysaccharide 1,6-galactosyltransferase
EBBPGFGJ_03734	CDS	210				hypothetical protein
EBBPGFGJ_03735	CDS	798	waaP	2.7.1.235	COG0515	Lipopolysaccharide core heptose(I) kinase WaaP
EBBPGFGJ_03736	CDS	1125	waaG	2.4.1.-	COG0438	Lipopolysaccharide glucosyltransferase WaaG
EBBPGFGJ_03737	CDS	1071	waaQ	2.4.99.25	COG0859	Lipopolysaccharide heptosyltransferase 3
EBBPGFGJ_03738	CDS	1278	waaA	2.4.99.12	COG1519	3-deoxy-D-manno-octulosonic acid transferase
EBBPGFGJ_03739	CDS	480	coaD	2.7.7.3	COG0669	Phosphopantetheine adenylyltransferase
EBBPGFGJ_03740	CDS	810	mutM	3.2.2.23	COG0266	Formamidopyrimidine-DNA glycosylase
EBBPGFGJ_03741	CDS	168	rpmG		COG0267	Large ribosomal subunit protein bL33
EBBPGFGJ_03742	CDS	237	rpmB		COG0227	Large ribosomal subunit protein bL28
EBBPGFGJ_03743	CDS	666				hypothetical protein
EBBPGFGJ_03744	CDS	1224	coaBC		COG0452	Coenzyme A biosynthesis bifunctional protein CoaBC
EBBPGFGJ_03745	CDS	459	dut	3.6.1.23	COG0756	Deoxyuridine 5'-triphosphate nucleotidohydrolase
EBBPGFGJ_03746	CDS	597	slmA		COG1309	Nucleoid occlusion factor SlmA
EBBPGFGJ_03747	CDS	642	pyrE	2.4.2.10		Orotate phosphoribosyltransferase
EBBPGFGJ_03748	CDS	717	rph	2.7.7.56		Ribonuclease PH
EBBPGFGJ_03749	CDS	864	yicC	3.1.26.-	COG1561	Endoribonuclease YicC
EBBPGFGJ_03750	CDS	903	yidZ_1			HTH-type transcriptional regulator YidZ
EBBPGFGJ_03751	CDS	882				hypothetical protein
EBBPGFGJ_03752	CDS	618				hypothetical protein
EBBPGFGJ_03753	CDS	1686	ligB	6.5.1.2	COG0272	DNA ligase B
EBBPGFGJ_03754	CDS	624	gmk	2.7.4.8	COG0194	Guanylate kinase
EBBPGFGJ_03755	CDS	276	rpoZ	2.7.7.6		DNA-directed RNA polymerase subunit omega
EBBPGFGJ_03756	CDS	2112	spoT		COG0317	Bifunctional (p)ppGpp synthase/hydrolase SpoT
EBBPGFGJ_03757	CDS	690	trmH	2.1.1.34	COG0566	tRNA (guanosine(18)-2'-O)-methyltransferase
EBBPGFGJ_03758	CDS	2082	recG	5.6.2.4	COG1200	ATP-dependent DNA helicase RecG
EBBPGFGJ_03759	CDS	852				hypothetical protein
EBBPGFGJ_03760	CDS	1206	gltS		COG0786	Sodium/glutamate symporter
EBBPGFGJ_03761	CDS	1392	xanP		COG2233	Xanthine permease XanP
EBBPGFGJ_03762	CDS	1710				hypothetical protein
EBBPGFGJ_03763	CDS	2319	yicI	3.2.1.177	COG1501	Alpha-xylosidase
EBBPGFGJ_03764	CDS	1383	yicJ_2		COG2211	Inner membrane symporter YicJ
EBBPGFGJ_03765	tRNA	95				tRNA-SeC(tca)
EBBPGFGJ_03766	CDS	345				hypothetical protein
EBBPGFGJ_03767	CDS	1191				Retron Ec78 probable ATPase
EBBPGFGJ_03768	CDS	348				hypothetical protein
EBBPGFGJ_03769	CDS	1038				hypothetical protein
EBBPGFGJ_03770	CDS	174				hypothetical protein
EBBPGFGJ_03771	CDS	618	ecpR		COG2771	HTH-type transcriptional regulator EcpR
EBBPGFGJ_03772	CDS	2868				hypothetical protein
EBBPGFGJ_03773	CDS	465				hypothetical protein
EBBPGFGJ_03774	CDS	858				hypothetical protein
EBBPGFGJ_03775	CDS	681	ycaC_2	4.-.-.-	COG1335	putative hydrolase YcaC
EBBPGFGJ_03776	CDS	480				hypothetical protein
EBBPGFGJ_03777	CDS	93				hypothetical protein
EBBPGFGJ_03778	CDS	2727	mgtB	7.2.2.14		Magnesium-transporting ATPase, P-type 1
EBBPGFGJ_03779	CDS	684	mgtC			Protein MgtC
EBBPGFGJ_03780	CDS	903	yicL		COG0697	putative inner membrane transporter YicL
EBBPGFGJ_03781	CDS	942				ISNCY family transposase ISRor2
EBBPGFGJ_03782	CDS	744	dgaF_1	4.1.2.14		2-dehydro-3-deoxy-phosphogluconate aldolase
EBBPGFGJ_03783	CDS	1110	dgaE_1	4.3.1.29		D-glucosaminate-6-phosphate ammonia lyase
EBBPGFGJ_03784	CDS	858	manZ_3		COG3716	PTS system mannose-specific EIID component
EBBPGFGJ_03785	CDS	750	agaC_1		COG3715	N-acetylgalactosamine permease IIC component 1
EBBPGFGJ_03786	CDS	486	levE	2.7.1.202	COG3444	PTS system fructose-specific EIIB component
EBBPGFGJ_03787	CDS	426				hypothetical protein
EBBPGFGJ_03788	CDS	2799	dgaR_1			Transcriptional regulatory protein DagR
EBBPGFGJ_03789	CDS	294				hypothetical protein
EBBPGFGJ_03790	CDS	1383	gmuD	3.2.1.86	COG2723	6-phospho-beta-glucosidase GmuD
EBBPGFGJ_03791	CDS	1194	nepI		COG2814	Purine ribonucleoside efflux pump NepI
EBBPGFGJ_03792	CDS	360				hypothetical protein
EBBPGFGJ_03793	CDS	324				hypothetical protein
EBBPGFGJ_03794	CDS	270	ptsH_2			Phosphocarrier protein HPr
EBBPGFGJ_03795	CDS	861	fba	4.1.2.13		Fructose-bisphosphate aldolase
EBBPGFGJ_03796	CDS	1485	glpK_1	2.7.1.30		Glycerol kinase
EBBPGFGJ_03797	CDS	1359	gatC_3		COG3775	PTS system galactitol-specific EIIC component
EBBPGFGJ_03798	CDS	288	gatB_3	2.7.1.200	COG3414	PTS system galactitol-specific EIIB component
EBBPGFGJ_03799	CDS	474				hypothetical protein
EBBPGFGJ_03800	CDS	744	mngR_1		COG2188	Mannosyl-D-glycerate transport/metabolism system repressor MngR
EBBPGFGJ_03801	CDS	453				hypothetical protein
EBBPGFGJ_03802	CDS	1392	uhpT			hexose phosphate transporter UhpT
EBBPGFGJ_03803	CDS	1329	uhpC_2		COG2271	Membrane sensor protein UhpC
EBBPGFGJ_03804	CDS	1503	uhpB	2.7.13.3	COG3851	Signal transduction histidine-protein kinase/phosphatase UhpB
EBBPGFGJ_03805	CDS	591	uhpA		COG2197	Transcriptional regulatory protein UhpA
EBBPGFGJ_03806	CDS	1014				hypothetical protein
EBBPGFGJ_03807	CDS	1317	fucP_2		COG0738	L-fucose-proton symporter
EBBPGFGJ_03808	CDS	921	deoK_3	2.7.1.229		Deoxyribokinase
EBBPGFGJ_03809	CDS	786	deoR_2		COG1349	Deoxyribose operon repressor
EBBPGFGJ_03810	CDS	291	ilvN	2.2.1.6	COG0440	Acetolactate synthase isozyme 1 small subunit
EBBPGFGJ_03811	CDS	1689	ilvB	2.2.1.6	COG0028	Acetolactate synthase isozyme 1 large subunit
EBBPGFGJ_03812	CDS	99				hypothetical protein
EBBPGFGJ_03813	CDS	90	tisB			Small toxic protein TisB
EBBPGFGJ_03814	CDS	834				hypothetical protein
EBBPGFGJ_03815	CDS	1185	emrD		COG2814	Multidrug resistance protein D
EBBPGFGJ_03816	CDS	1062				hypothetical protein
EBBPGFGJ_03817	CDS	924	dsdC		COG0583	HTH-type transcriptional regulator DsdC
EBBPGFGJ_03818	CDS	1338	dsdX		COG2610	D-serine transporter DsdX
EBBPGFGJ_03819	CDS	1323	dsdA	4.3.1.18		D-serine dehydratase
EBBPGFGJ_03820	CDS	531				hypothetical protein
EBBPGFGJ_03821	CDS	363	yidG			Inner membrane protein YidG
EBBPGFGJ_03822	CDS	348	yidH		COG2149	Inner membrane protein YidH
EBBPGFGJ_03823	CDS	1662	aspT_2			Aspartate/alanine antiporter
EBBPGFGJ_03824	CDS	429	ibpB		COG0071	Small heat shock protein IbpB
EBBPGFGJ_03825	CDS	414	ibpA_2		COG0071	Small heat shock protein IbpA
EBBPGFGJ_03826	CDS	291				hypothetical protein
EBBPGFGJ_03827	CDS	1227				hypothetical protein
EBBPGFGJ_03828	CDS	1044	ccmH_2		COG3088	Cytochrome c-type biogenesis protein CcmH
EBBPGFGJ_03829	CDS	558	dsbE_2		COG0526	Thiol:disulfide interchange protein DsbE
EBBPGFGJ_03830	CDS	1932	ccmF_2		COG1138	Cytochrome c-type biogenesis protein CcmF
EBBPGFGJ_03831	CDS	480	ccmE_2		COG2332	Cytochrome c-type biogenesis protein CcmE
EBBPGFGJ_03832	CDS	174	ccmD_2		COG3114	Heme exporter protein D
EBBPGFGJ_03833	CDS	747	ccmC_2		COG0755	Heme exporter protein C
EBBPGFGJ_03834	CDS	657	ccmB_2		COG2386	Heme exporter protein B
EBBPGFGJ_03835	CDS	627	ccmA_2	7.6.2.5	COG4133	Cytochrome c biogenesis ATP-binding export protein CcmA
EBBPGFGJ_03836	CDS	1401	ccp	1.11.1.-	COG1858	Cytochrome c peroxidase Ccp
EBBPGFGJ_03837	CDS	633	torD_2		COG3381	Chaperone protein TorD
EBBPGFGJ_03838	CDS	2553	torA	1.7.2.3	COG0243	Trimethylamine-N-oxide reductase 1
EBBPGFGJ_03839	CDS	1185	torC		COG3005	Cytochrome c-type protein TorC
EBBPGFGJ_03840	CDS	729	torR		COG0745	TorCAD operon transcriptional regulatory protein TorR
EBBPGFGJ_03841	CDS	1041	torT		COG1879	Periplasmic protein TorT
EBBPGFGJ_03842	CDS	2736	torS	2.7.13.3	COG0784	Sensor protein TorS
EBBPGFGJ_03843	CDS	1293	dgoT		COG2271	D-galactonate transporter
EBBPGFGJ_03844	CDS	1149	dgoD_1	4.2.1.6	COG4948	D-galactonate dehydratase
EBBPGFGJ_03845	CDS	618	dgoA	4.1.2.21	COG0800	2-dehydro-3-deoxy-6-phosphogalactonate aldolase
EBBPGFGJ_03846	CDS	879	dgoK	2.7.1.58	COG3734	2-dehydro-3-deoxygalactonokinase
EBBPGFGJ_03847	CDS	690	dgoR_1		COG2186	Galactonate operon transcriptional repressor
EBBPGFGJ_03848	CDS	846	yidA	3.1.3.23	COG0561	Sugar phosphatase YidA
EBBPGFGJ_03849	CDS	1263	sauU_2		COG2271	putative sulfoacetate transporter SauU
EBBPGFGJ_03850	CDS	1191	dgoD_2	4.2.1.6	COG4948	D-galactonate dehydratase
EBBPGFGJ_03851	CDS	897	benM_2		COG0583	HTH-type transcriptional regulator BenM
EBBPGFGJ_03852	CDS	2415	gyrB			DNA topoisomerase (ATP-hydrolyzing) subunit B GyrB
EBBPGFGJ_03853	CDS	1074	recF		COG1195	DNA replication and repair protein RecF
EBBPGFGJ_03854	CDS	1101	dnaN		COG0592	Beta sliding clamp
EBBPGFGJ_03855	CDS	1401	dnaA	3.6.4.-	COG0593	Chromosomal replication initiator protein DnaA
EBBPGFGJ_03856	CDS	198				hypothetical protein
EBBPGFGJ_03857	CDS	1647	yidC			Membrane protein insertase YidC
EBBPGFGJ_03858	CDS	1365	mnmE	3.6.-.-	COG0486	tRNA modification GTPase MnmE
EBBPGFGJ_03859	CDS	495	intA_4		COG0582	Prophage integrase IntA
EBBPGFGJ_03860	CDS	711	intA_5		COG0582	Prophage integrase IntA
EBBPGFGJ_03861	CDS	963				hypothetical protein
EBBPGFGJ_03862	CDS	936	ret	2.7.7.49		Retron Vc95 reverse transcriptase
EBBPGFGJ_03863	CDS	162				hypothetical protein
EBBPGFGJ_03864	CDS	1188	mdtL		COG2814	Multidrug resistance protein MdtL
EBBPGFGJ_03865	CDS	960	yidZ_2		COG0583	HTH-type transcriptional regulator YidZ
EBBPGFGJ_03866	CDS	756				hypothetical protein
EBBPGFGJ_03867	CDS	567	chrR	1.6.5.2	COG0431	Quinone reductase
EBBPGFGJ_03868	CDS	1338	adeP		COG2252	Adenine permease AdeP
EBBPGFGJ_03869	CDS	666	yieH	3.1.3.-	COG0637	6-phosphogluconate phosphatase
EBBPGFGJ_03870	CDS	726	phoU		COG0704	Phosphate-specific transport system accessory protein PhoU
EBBPGFGJ_03871	CDS	774	pstB	7.3.2.1	COG1117	Phosphate import ATP-binding protein PstB
EBBPGFGJ_03872	CDS	891	pstA		COG0581	Phosphate transport system permease protein PstA
EBBPGFGJ_03873	CDS	960	pstC		COG0573	Phosphate transport system permease protein PstC
EBBPGFGJ_03874	CDS	1041	pstS		COG0226	Phosphate-binding protein PstS
EBBPGFGJ_03875	CDS	102				hypothetical protein
EBBPGFGJ_03876	CDS	1374	fruA_3		COG1299	PTS system fructose-specific EIIB'BC component
EBBPGFGJ_03877	CDS	819	sdhL	1.1.1.25	COG0169	Shikimate dehydrogenase-like protein
EBBPGFGJ_03878	CDS	1791	sgrR_4		COG4533	HTH-type transcriptional regulator SgrR
EBBPGFGJ_03879	CDS	1830	glmS_2	2.6.1.16	COG0449	Glutamine--fructose-6-phosphate aminotransferase [isomerizing]
EBBPGFGJ_03880	CDS	1371	glmU		COG1207	Bifunctional protein GlmU
EBBPGFGJ_03881	CDS	699				hypothetical protein
EBBPGFGJ_03882	CDS	420	atpC			ATP synthase epsilon chain
EBBPGFGJ_03883	CDS	1383	atpD	7.1.2.2	COG0055	ATP synthase subunit beta
EBBPGFGJ_03884	CDS	864	atpG			ATP synthase gamma chain
EBBPGFGJ_03885	CDS	1542	atpA	7.1.2.2	COG0056	ATP synthase subunit alpha
EBBPGFGJ_03886	CDS	534	atpH		COG0712	ATP synthase subunit delta
EBBPGFGJ_03887	CDS	471	atpF		COG0711	ATP synthase subunit b
EBBPGFGJ_03888	CDS	240	atpE			ATP synthase subunit c
EBBPGFGJ_03889	CDS	816	atpB		COG0356	ATP synthase subunit a
EBBPGFGJ_03890	CDS	381	atpI		COG3312	ATP synthase protein I
EBBPGFGJ_03891	CDS	624	rsmG	2.1.1.170		Ribosomal RNA small subunit methyltransferase G
EBBPGFGJ_03892	CDS	1890	mnmG		COG0445	tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG
EBBPGFGJ_03893	CDS	444	mioC		COG0716	Protein MioC
EBBPGFGJ_03894	CDS	459	asnC		COG1522	Regulatory protein AsnC
EBBPGFGJ_03895	CDS	993	asnA	6.3.1.1	COG2502	Aspartate--ammonia ligase
EBBPGFGJ_03896	CDS	1452	viaA		COG2425	Regulatory protein ViaA
EBBPGFGJ_03897	CDS	1497	ravA	3.6.1.-	COG0714	Regulatory ATPase RavA
EBBPGFGJ_03898	CDS	1869	kup		COG3158	Low affinity potassium transport system protein Kup
EBBPGFGJ_03899	CDS	420	rbsD	5.4.99.62		D-ribose pyranase
EBBPGFGJ_03900	CDS	1506	rbsA	7.5.2.7	COG1129	Ribose import ATP-binding protein RbsA
EBBPGFGJ_03901	CDS	966	rbsC		COG1172	Ribose import permease protein RbsC
EBBPGFGJ_03902	CDS	891	rbsB			Ribose import binding protein RbsB
EBBPGFGJ_03903	CDS	930	rbsK	2.7.1.15	COG0524	Ribokinase
EBBPGFGJ_03904	CDS	990	rbsR		COG1609	Ribose operon repressor
EBBPGFGJ_03905	CDS	1428	hsrA		COG0477	putative transport protein HsrA
EBBPGFGJ_03906	CDS	705	dgoR_2		COG2186	Galactonate operon transcriptional repressor
EBBPGFGJ_03907	CDS	255				hypothetical protein
EBBPGFGJ_03908	tRNA	76				tRNA-Glu(ttc)
EBBPGFGJ_03909	tRNA	77				tRNA-Asp(gtc)
EBBPGFGJ_03910	tRNA	76				tRNA-Trp(cca)
EBBPGFGJ_03911	CDS	837	hdfR_2			HTH-type transcriptional regulator HdfR
EBBPGFGJ_03912	CDS	339	maoP		COG3085	Macrodomain Ori protein
EBBPGFGJ_03913	CDS	1521	comM		COG0606	Competence protein ComM
EBBPGFGJ_03914	CDS	1647	ilvG	2.2.1.6		Acetolactate synthase isozyme 2 large subunit
EBBPGFGJ_03915	CDS	264	ilvM	2.2.1.6	COG3978	Acetolactate synthase isozyme 2 small subunit
EBBPGFGJ_03916	CDS	930	ilvE	2.6.1.42		Branched-chain-amino-acid aminotransferase
EBBPGFGJ_03917	CDS	1851	ilvD_2	4.2.1.9	COG0129	Dihydroxy-acid dehydratase
EBBPGFGJ_03918	CDS	1545	ilvA	4.3.1.19	COG1171	L-threonine dehydratase biosynthetic IlvA
EBBPGFGJ_03919	CDS	318				hypothetical protein
EBBPGFGJ_03920	CDS	342				hypothetical protein
EBBPGFGJ_03921	CDS	888	gltC_2		COG0583	Transcriptional dual regulator GltC
EBBPGFGJ_03922	CDS	1476	ilvC	1.1.1.86		Ketol-acid reductoisomerase (NADP(+))
